Date,rain
2000-10,4.9
2000-11,2.3
2000-12,6.4
2001-01,13.6
2001-02,17.1
2001-03,20.0
2001-04,23.1
2001-05,22.0
2001-06,20.8
2001-07,14.6
2001-08,9.0
2001-09,5.2
2001-10,4.8
2001-11,2.8
2001-12,8.9
2002-01,14.4
2002-02,16.9
2002-03,20.2
2002-04,23.9
2002-05,21.8
2002-06,20.0
2002-07,15.3
2002-08,10.4
2002-09,6.7
2002-10,5.1
2002-11,3.6
2002-12,9.3
2003-01,11.6
2003-02,15.9
2003-03,20.0
2003-04,22.5
2003-05,22.0
2003-06,20.4
2003-07,15.6
2003-08,10.7
2003-09,6.1
2003-10,3.8
2003-11,3.3
2003-12,7.8
2004-01,11.7
2004-02,14.3
2004-03,18.5
2004-04,23.3
2004-05,21.9
2004-06,18.5
2004-07,14.3
2004-08,9.2
2004-09,4.8
2004-10,4.2
2004-11,3.8
2004-12,9.3
2005-01,10.6
2005-02,13.9
2005-03,18.1
2005-04,21.5
2005-05,22.5
2005-06,19.3
2005-07,14.4
2005-08,9.9
2005-09,3.7
2005-10,-1.7
2005-11,-0.6
2005-12,7.2
2006-01,10.9
2006-02,15.6
2006-03,19.6
2006-04,25.4
2006-05,23.9
2006-06,21.5
2006-07,16.8
2006-08,9.5
2006-09,8.6
2006-10,-0.4
2006-11,4.5
2006-12,7.9
2007-01,11.5
2007-02,16.0
2007-03,19.9
2007-04,24.5
2007-05,23.4
2007-06,19.6
2007-07,16.3
2007-08,10.6
2007-09,1.4
2007-10,-3.8
2007-11,0.6
2007-12,6.3
2008-01,9.4
2008-02,15.6
2008-03,20.3
2008-04,23.7
2008-05,21.9
2008-06,19.9
2008-07,13.2
2008-08,10.7
2008-09,4.9
2008-10,-2.0
2008-11,1.1
2008-12,8.0
2009-01,12.3
2009-02,15.3
2009-03,20.8
2009-04,24.0
2009-05,22.0
2009-06,20.8
2009-07,16.5
2009-08,9.5
2009-09,3.5
2009-10,2.2
2009-11,3.0
2009-12,8.4
2010-01,8.6
2010-02,14.8
2010-03,20.9
2010-04,23.0
2010-05,24.1
2010-06,20.3
2010-07,14.8
2010-08,11.8
2010-09,3.8
2010-10,4.9
2010-11,6.0
2010-12,10.4
2011-01,11.1
2011-02,15.9
2011-03,21.1
2011-04,24.6
2011-05,22.4
2011-06,20.5
2011-07,16.0
2011-08,8.9
2011-09,3.9
2011-10,3.7
2011-11,2.0
2011-12,3.3
2012-01,9.7
2012-02,15.8
2012-03,21.0
2012-04,24.4
2012-05,23.6
2012-06,20.8
2012-07,17.5
2012-08,10.2
2012-09,6.4
2012-10,1.8
2012-11,1.5
2012-12,5.9
2013-01,11.9
2013-02,15.1
2013-03,21.7
2013-04,24.6
2013-05,24.1
2013-06,20.0
2013-07,16.4
2013-08,11.3
2013-09,4.6
2013-10,0.8
2013-11,5.4
2013-12,7.9
2014-01,13.1
2014-02,13.4
2014-03,21.8
2014-04,25.1
2014-05,25.0
2014-06,21.5
2014-07,14.6
2014-08,10.0
2014-09,5.3
2014-10,-2.0
2014-11,1.3
2014-12,7.9
2015-01,11.2
2015-02,16.6
2015-03,23.1
2015-04,26.0
2015-05,25.7
2015-06,21.3
2015-07,15.8
2015-08,8.5
2015-09,2.5
2015-10,4.7
2015-11,7.0
2015-12,5.7
2016-01,11.4
2016-02,16.0
2016-03,23.0
2016-04,25.2
2016-05,23.1
2016-06,21.2
2016-07,16.8
2016-08,11.3
2016-09,3.2
2016-10,2.0
2016-11,3.8
2016-12,9.0
2017-01,9.1
2017-02,17.2
2017-03,21.4
2017-04,25.4
2017-05,24.3
2017-06,22.2
2017-07,15.9
2017-08,11.1
2017-09,3.9
2017-10,4.9
2017-11,2.6
2017-12,7.4
2018-01,11.7
2018-02,16.8
2018-03,22.7
2018-04,24.6
2018-05,23.8
2018-06,20.3
2018-07,23.7
2018-08,25.7
2018-09,25.9
2018-10,22.6
2018-11,15.3
2018-12,14.0
2019-01,10.3
2019-02,6.2
2019-03,6.0
2019-04,6.4
2019-05,11.8
2019-06,16.6
2019-07,22.2
2019-08,25.6
2019-09,27.1
2019-10,22.1
2019-11,15.3
2019-12,10.8
2020-01,5.0
2020-02,5.3
2020-03,5.0
2020-04,7.7
2020-05,10.2
2020-06,17.2
2020-07,21.1
2020-08,26.4
2020-09,24.3
2020-10,22.6
2020-11,16.1
2020-12,10.6
2021-01,9.1
2021-02,3.4
2021-03,3.5
2021-04,4.9
2021-05,8.6
2021-06,18.1
2021-07,22.5
2021-08,25.4
2021-09,26.0
2021-10,23.9
2021-11,18.2
2021-12,14.1
2022-01,8.1
2022-02,7.2
2022-03,3.7
2022-04,6.6
2022-05,10.9
2022-06,15.2
2022-07,21.3
2022-08,25.6
2022-09,25.5
2022-10,22.4
2022-11,16.4
2022-12,13.8
2023-01,9.7
2023-02,4.0
2023-03,4.3
2023-04,8.0
2023-05,10.0
2023-06,17.5
2023-07,23.4
2023-08,24.5
2023-09,25.8
2023-10,22.2
2023-11,16.0
2023-12,11.4
2024-01,9.0
2024-02,0.8
2024-03,-0.5
2024-04,6.5
2024-05,11.4
2024-06,17.6
